Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 05:51:00,05:51:00,47,
2026.09.13 06:00:00,06:00:00,47,
2026.09.13 06:01:00,06:01:00,45,
2026.09.13 06:02:00,06:02:00,87,
2026.09.13 06:03:00,06:03:00,72,
2026.09.13 06:10:00,06:10:00,46,
2026.09.13 06:11:00,06:11:00,45,
2026.09.13 06:20:00,06:20:00,48,
2026.09.13 06:21:00,06:21:00,45,
2026.09.13 06:30:00,06:30:00,46,
2026.09.13 06:31:00,06:31:00,45,
2026.09.13 06:32:00,06:32:00,89,
2026.09.13 06:40:00,06:40:00,77,
2026.09.13 06:41:00,06:41:00,51,
2026.09.13 06:47:00,06:47:00,61,
2026.09.13 06:50:00,06:50:00,40,
2026.09.13 06:51:00,06:51:00,45,
2026.09.13 06:56:00,06:56:00,73,
2026.09.13 07:00:00,07:00:00,52,
2026.09.13 07:01:00,07:01:00,46,
2026.09.13 07:04:00,07:04:00,48,
2026.09.13 07:06:00,07:06:00,47,
2026.09.13 07:13:00,07:13:00,47,
2026.09.13 07:14:00,07:14:00,43,
2026.09.13 07:16:00,07:16:00,43,
2026.09.13 07:22:00,07:22:00,42,
2026.09.13 07:23:00,07:23:00,55,
2026.09.13 07:25:00,07:25:00,44,
2026.09.13 07:26:00,07:26:00,45,
2026.09.13 07:30:00,07:30:00,45,
2026.09.13 07:31:00,07:31:00,43,
2026.09.13 07:33:00,07:33:00,43,
2026.09.13 07:40:00,07:40:00,83,
2026.09.13 07:50:00,07:50:00,48,
2026.09.13 07:54:00,07:54:00,46,
2026.09.13 07:55:00,07:55:00,42,
2026.09.13 08:00:00,08:00:00,44,
2026.09.13 08:01:00,08:01:00,44,
2026.09.13 08:02:00,08:02:00,70,
2026.09.13 08:03:00,08:03:00,44,
2026.09.13 08:06:00,08:06:00,43,
2026.09.13 08:07:00,08:07:00,44,
2026.09.13 08:10:00,08:10:00,49,
2026.09.13 08:11:00,08:11:00,49,
2026.09.13 08:18:00,08:18:00,78,
2026.09.13 08:20:00,08:20:00,51,
2026.09.13 08:36:00,08:36:00,49,
2026.09.13 08:37:00,08:37:00,78,
2026.09.13 08:40:00,08:40:00,54,
2026.09.13 08:50:00,08:50:00,46,
2026.09.13 09:00:00,09:00:00,49,
2026.09.13 09:01:00,09:01:00,50,
2026.09.13 09:08:00,09:08:00,94,
2026.09.13 09:09:00,09:09:00,81,
2026.09.13 09:10:00,09:10:00,49,
2026.09.13 09:11:00,09:11:00,52,
2026.09.13 09:12:00,09:12:00,58,
2026.09.13 09:13:00,09:13:00,86,
2026.09.13 09:14:00,09:14:00,64,
2026.09.13 09:16:00,09:16:00,88,
2026.09.13 09:17:00,09:17:00,67,
2026.09.13 09:18:00,09:18:00,49,
2026.09.13 09:20:00,09:20:00,84,
2026.09.13 09:21:00,09:21:00,83,
2026.09.13 09:22:00,09:22:00,71,
2026.09.13 09:23:00,09:23:00,84,
2026.09.13 09:25:00,09:25:00,76,
2026.09.13 09:27:00,09:27:00,65,
2026.09.13 09:28:00,09:28:00,70,
2026.09.13 09:30:00,09:30:00,70,
2026.09.13 09:31:00,09:31:00,72,
2026.09.13 09:32:00,09:32:00,77,
2026.09.13 09:33:00,09:33:00,68,
2026.09.13 09:35:00,09:35:00,70,
